"","major","year","men","women","type"
"756","中学校課程",2010,617,526,1
"757","高等学校課程",2010,0,0,1
"758","特別教科課程",2010,0,0,1
"759","盲学校課程",2010,0,0,1
"760","聾学校課程",2010,0,0,1
"761","中等教育学校課程",2010,1801,1213,1
"762","養護学校課程",2010,13,69,1
"763","幼稚園課程",2010,12,148,1
"764","体育学",2010,19838,11259,1
"765","障害児教育課程",2010,28,121,1
"766","特別支援教育課程",2010,225,997,1
"767","その他",2010,32087,61801,1
"768","美術",2010,2652,8464,1
"769","デザイン",2010,5296,11186,1
"770","音楽",2010,3714,14821,1
"771","その他",2010,9366,17298,1
"772","教養学",2010,820,1794,1
"773","総合科学",2010,278,300,1
"774","教養課程（文科）",2010,2031,1401,1
"775","教養課程（理科）",2010,5587,974,1
"776","教養課程（その他）",2010,232,70,1
"777","人文・社会科学",2010,10134,12460,1
"778","国際関係学（国際関係学部）",2010,5844,8642,1
"779","人間関係科学",2010,6140,4511,1
"780","その他",2010,50373,47493,1
"781","20",2009,1483662,1036931,1
"782","21",2009,1474151,1053168,1
"783","文学",2009,40271,106897,1
"784","史学",2009,13947,12144,1
"785","哲学",2009,17440,25817,1
"786","その他",2009,58729,114353,1
"787","法学・政治学",2009,118951,49239,1
"788","商学・経済学",2009,366803,123187,1
"789","社会学",2009,71508,84993,1
"790","その他",2009,48689,29494,1
"791","数学",2009,14335,3731,1
"792","物理学",2009,11661,1726,1
"793","化学",2009,9189,3792,1
"794","生物学",2009,4860,3103,1
"795","地学",2009,2936,1009,1
"796","その他",2009,17880,7667,1
"797","機械工学",2009,71768,2052,1
"798","電気通信工学",2009,120968,7776,1
"799","土木建築工学",2009,51990,9867,1
"800","応用化学",2009,30531,7153,1
"801","応用理学",2009,6317,559,1
"802","原子力工学",2009,108,3,1
"803","鉱山学",2009,2,0,1
"804","金属工学",2009,345,29,1
"805","繊維工学",2009,813,161,1
"806","船舶工学",2009,541,64,1
"807","航空工学",2009,2712,145,1
"808","経営工学",2009,9292,1086,1
"809","工芸学",2009,1161,695,1
"810","その他",2009,63599,13669,1
"811","農学",2009,7515,4770,1
"812","農芸化学",2009,3460,3044,1
"813","農業工学",2009,2049,788,1
"814","農業経済学",2009,2193,1125,1
"815","林学",2009,1275,624,1
"816","林産学",2009,0,0,1
"817","獣医学畜産学",2009,5729,4922,1
"818","水産学",2009,4652,1760,1
"819","その他",2009,18308,13240,1
"820","医学",2009,32796,15207,1
"821","歯学",2009,10055,6071,1
"822","薬学",2009,24876,29426,1
"823","看護学",2009,4953,43759,1
"824","その他",2009,29069,39254,1
"825","商船学",2009,6,0,1
"826","家政学",2009,2448,18739,1
"827","食物学",2009,3339,29212,1
"828","被服学",2009,390,6419,1
"829","住居学",2009,60,1259,1
"830","児童学",2009,431,4212,1
"831","その他",2009,0,141,1
"832","教育学",2009,8416,16433,1
"833","小学校課程",2009,4463,5420,1
"834","中学校課程",2009,699,567,1
"835","高等学校課程",2009,0,0,1
"836","特別教科課程",2009,0,0,1
"837","盲学校課程",2009,0,0,1
"838","聾学校課程",2009,0,0,1
"839","中等教育学校課程",2009,1624,1100,1
"840","養護学校課程",2009,23,124,1
"841","幼稚園課程",2009,16,147,1
"842","体育学",2009,18801,10994,1
"843","障害児教育課程",2009,82,331,1
"844","特別支援教育課程",2009,174,736,1
"845","その他",2009,30952,58948,1
"846","美術",2009,2774,8210,1
"847","デザイン",2009,5342,11099,1
"848","音楽",2009,3709,15102,1
"849","その他",2009,9461,17300,1
"850","教養学",2009,850,1786,1
"851","総合科学",2009,275,309,1
"852","教養課程（文科）",2009,2058,1409,1
"853","教養課程（理科）",2009,5716,975,1
"854","教養課程（その他）",2009,0,0,1
"855","人文・社会科学",2009,10015,11963,1
"856","国際関係学（国際関係学部）",2009,5826,8412,1
"857","人間関係科学",2009,5858,4620,1
"858","その他",2009,46067,42800,1
"859","19",2008,1490642,1023586,1
"860","20",2008,1483662,1036931,1
"861","文学",2008,41253,109219,1
"862","史学",2008,14405,12575,1
"863","哲学",2008,17689,25320,1
"864","その他",2008,59043,114472,1
"865","法学・政治学",2008,120681,50337,1
"866","商学・経済学",2008,371906,119768,1
"867","社会学",2008,75241,87779,1
"868","その他",2008,47594,28464,1
"869","数学",2008,14678,3950,1
"870","物理学",2008,11852,1679,1
"871","化学",2008,9137,3691,1
"872","生物学",2008,4590,3018,1
"873","地学",2008,3024,1004,1
"874","その他",2008,18311,7703,1
"875","機械工学",2008,72948,2022,1
"876","電気通信工学",2008,125182,7665,1
"877","土木建築工学",2008,54601,10168,1
"878","応用化学",2008,31591,7276,1
"879","応用理学",2008,5875,504,1
"880","原子力工学",2008,85,4,1
"881","鉱山学",2008,6,0,1
"882","金属工学",2008,350,29,1
"883","繊維工学",2008,896,219,1
"884","船舶工学",2008,537,65,1
"885","航空工学",2008,2706,141,1
"886","経営工学",2008,9716,1133,1
"887","工芸学",2008,1000,569,1
"888","その他",2008,61993,13402,1
"889","農学",2008,7420,4537,1
"890","農芸化学",2008,3575,3184,1
"891","農業工学",2008,2124,786,1
"892","農業経済学",2008,2305,1082,1
"893","林学",2008,1232,629,1
"894","林産学",2008,0,0,1
"895","獣医学畜産学",2008,5781,4993,1
"896","水産学",2008,4782,1850,1
"897","その他",2008,18001,12621,1
"898","医学",2008,31983,15132,1
"899","歯学",2008,10289,6174,1
"900","薬学",2008,25256,29511,1
"901","看護学",2008,4380,39228,1
"902","その他",2008,26814,37207,1
"903","商船学",2008,17,1,1
"904","家政学",2008,2497,19541,1
"905","食物学",2008,3184,27726,1
"906","被服学",2008,415,6312,1
"907","住居学",2008,66,1344,1
"908","児童学",2008,511,4168,1
"909","その他",2008,0,77,1
"910","教育学",2008,8115,15834,1
"911","小学校課程",2008,4345,5280,1
"912","中学校課程",2008,740,554,1
"913","高等学校課程",2008,0,0,1
"914","特別教科課程",2008,0,2,1
"915","盲学校課程",2008,0,0,1
"916","聾学校課程",2008,0,0,1
"917","中等教育学校課程",2008,1410,1000,1
"918","養護学校課程",2008,41,167,1
"919","幼稚園課程",2008,15,140,1
"920","体育学",2008,17607,10535,1
"921","障害児教育課程",2008,151,539,1
"922","特別支援教育課程",2008,117,475,1
"923","その他",2008,29859,56404,1
"924","美術",2008,3003,8298,1
"925","デザイン",2008,5521,10968,1
"926","音楽",2008,3771,15517,1
"927","その他",2008,9551,16725,1
"928","教養学",2008,892,1754,1
"929","総合科学",2008,295,304,1
"930","教養課程（文科）",2008,2023,1427,1
"931","教養課程（理科）",2008,5656,892,1
"932","教養課程（その他）",2008,0,0,1
"933","人文・社会科学",2008,9721,11343,1
"934","国際関係学（国際関係学部）",2008,5690,8061,1
"935","人間関係科学",2008,5709,4601,1
"936","その他",2008,41908,37832,1
"937","平成18年度",2007,1492977,1011908,1
"938","平成19年度",2007,1490642,1023586,1
"939","文学",2007,42516,110899,1
"940","史学",2007,15090,12885,1
"941","哲学",2007,17781,24945,1
"942","その他",2007,58721,115014,1
"943","法学・政治学",2007,121483,51525,1
"944","商学・経済学",2007,377823,117976,1
"945","社会学",2007,78801,89677,1
"946","その他",2007,47542,27960,1
"947","数学",2007,15798,4004,1
"948","物理学",2007,11939,1744,1
"949","化学",2007,8941,3662,1
"950","生物学",2007,4197,2978,1
"951","地学",2007,3186,978,1
"952","その他",2007,18896,7990,1
"953","機械工学",2007,74164,2098,1
"954","電気通信工学",2007,129415,8006,1
"955","土木建築工学",2007,56408,10561,1
"956","応用化学",2007,32881,7476,1
"957","応用理学",2007,4618,335,1
"958","原子力工学",2007,99,1,1
"959","鉱山学",2007,34,8,1
"960","金属工学",2007,365,38,1
"961","繊維工学",2007,1050,237,1
"962","船舶工学",2007,489,60,1
"963","航空工学",2007,2715,141,1
"964","経営工学",2007,9934,1118,1
"965","工芸学",2007,791,382,1
"966","その他",2007,61775,13514,1
"967","農学",2007,7082,4343,1
"968","農芸化学",2007,3620,3224,1
"969","農業工学",2007,2200,854,1
"970","農業経済学",2007,2432,992,1
"971","林学",2007,1266,610,1
"972","林産学",2007,0,0,1
"973","獣医学畜産学",2007,5760,5050,1
"974","水産学",2007,4735,1895,1
"975","その他",2007,17041,11869,1
"976","医学",2007,31500,15267,1
"977","歯学",2007,10382,6207,1
"978","薬学",2007,24390,28964,1
"979","看護学",2007,3658,35439,1
"980","その他",2007,24023,34716,1
"981","商船学",2007,51,5,1
"982","家政学",2007,2359,19928,1
"983","食物学",2007,3008,26474,1
"984","被服学",2007,385,6662,1
"985","住居学",2007,267,1562,1
"986","児童学",2007,548,3934,1
"987","教育学",2007,7933,15509,1
"988","小学校課程",2007,4231,5221,1
"989","中学校課程",2007,759,540,1
"990","高等学校課程",2007,0,0,1
"991","特別教科課程",2007,0,4,1
"992","盲学校課程",2007,0,0,1
"993","聾学校課程",2007,0,0,1
"994","中等教育学校課程",2007,1229,916,1
"995","養護学校課程",2007,82,278,1
"996","幼稚園課程",2007,15,142,1
"997","体育学",2007,16621,10080,1
"998","障害児教育課程",2007,466,1061,1
"999","特別支援教育課程",2007,37,154,1
"1000","その他",2007,28950,54872,1
"1001","美術",2007,3243,8359,1
"1002","デザイン",2007,5741,10837,1
"1003","音楽",2007,3848,15891,1
"1004","その他",2007,9236,15743,1
"1005","教養学",2007,1039,1861,1
"1006","総合科学",2007,304,320,1
"1007","教養課程（文科）",2007,1966,1493,1
"1008","教養課程（理科）",2007,5130,779,1
"1009","教養課程（その他）",2007,0,0,1
"1010","人文・社会科学",2007,8945,10680,1
"1011","国際関係学（国際関係学部）",2007,5680,7679,1
"1012","人間関係科学",2007,5287,4466,1
"1013","その他",2007,37741,32494,1
"1014","平成17年度",2006,1498871,1009217,1
"1015","平成18年度",2006,1492977,1011908,1
"1016","文学",2006,43244,114581,1
"1017","史学",2006,15807,13353,1
"1018","哲学",2006,17357,23773,1
"1019","その他",2006,57361,114638,1
"1020","法学・政治学",2006,122725,53376,1
"1021","商学・経済学",2006,387760,118710,1
"1022","社会学",2006,79843,90901,1
"1023","その他",2006,46425,26248,1
"1024","数学",2006,16423,4050,1
"1025","物理学",2006,12088,1709,1
"1026","化学",2006,8917,3829,1
"1027","生物学",2006,4129,3007,1
"1028","地学",2006,3227,898,1
"1029","その他",2006,19060,8165,1
"1030","機械工学",2006,75171,2173,1
"1031","電気通信工学",2006,132404,8152,1
"1032","土木建築工学",2006,58450,10847,1
"1033","応用化学",2006,33797,7702,1
"1034","応用理学",2006,4190,271,1
"1035","原子力工学",2006,163,3,1
"1036","鉱山学",2006,54,12,1
"1037","金属工学",2006,440,29,1
"1038","繊維工学",2006,1154,272,1
"1039","船舶工学",2006,1156,82,1
"1040","航空工学",2006,2636,151,1
"1041","経営工学",2006,9934,1152,1
"1042","工芸学",2006,728,314,1
"1043","その他",2006,60539,13559,1
"1044","農学",2006,6724,4154,1
"1045","農芸化学",2006,3738,3360,1
"1046","農業工学",2006,2368,891,1
"1047","農業経済学",2006,2558,913,1
"1048","林学",2006,1267,631,1
"1049","林産学",2006,0,0,1
"1050","獣医学畜産学",2006,5630,5179,1
"1051","水産学",2006,4720,1930,1
"1052","その他",2006,16171,11430,1
"1053","医学",2006,31469,15331,1
"1054","歯学",2006,10525,6186,1
"1055","薬学",2006,22278,27388,1
"1056","看護学",2006,2940,31365,1
"1057","その他",2006,20390,32243,1
"1058","商船学",2006,229,21,1
"1059","家政学",2006,2512,20257,1
"1060","食物学",2006,2335,24781,1
"1061","被服学",2006,303,6373,1
"1062","住居学",2006,217,1635,1
"1063","児童学",2006,529,3875,1
"1064","教育学",2006,7709,15470,1
"1065","小学校課程",2006,4096,5157,1
"1066","中学校課程",2006,761,549,1
"1067","高等学校課程",2006,0,0,1
"1068","特別教科課程",2006,2,24,1
"1069","盲学校課程",2006,0,0,1
"1070","聾学校課程",2006,0,0,1
"1071","中等教育学校課程",2006,1073,836,1
"1072","養護学校課程",2006,89,317,1
"1073","幼稚園課程",2006,24,140,1
"1074","体育学",2006,15733,9688,1
"1075","障害児教育課程",2006,234,845,1
"1076","その他",2006,28015,54071,1
"1077","美術",2006,3533,8444,1
"1078","デザイン",2006,5913,10821,1
"1079","音楽",2006,3821,16277,1
"1080","その他",2006,8967,15027,1
"1081","教養学",2006,1159,2009,1
"1082","総合科学",2006,297,335,1
"1083","教養課程（文科）",2006,1969,1464,1
"1084","教養課程（理科）",2006,4470,705,1
"1085","教養課程（その他）",2006,0,0,1
"1086","人文・社会科学",2006,8446,9806,1
"1087","国際関係学（国際関係学部）",2006,5610,6997,1
"1088","人間関係科学",2006,4806,4250,1
"1089","その他",2006,34165,28776,1
"1090","平成16年度",2005,1501827,1004096,1
"1091","平成17年度",2005,1498871,1009217,1
"1092","文学",2005,44324,120491,1
"1093","史学",2005,16436,13980,1
"1094","哲学",2005,17054,22770,1
"1095","その他",2005,55772,114586,1
"1096","法学・政治学",2005,126847,56251,1
"1097","商学・経済学",2005,399968,121921,1
"1098","社会学",2005,79373,91094,1
"1099","その他",2005,44880,25422,1
"1100","数学",2005,16971,4180,1
"1101","物理学",2005,12473,1775,1
"1102","化学",2005,9094,4094,1
"1103","生物学",2005,3933,2993,1
"1104","地学",2005,3206,868,1
"1105","その他",2005,19006,8251,1
"1106","機械工学",2005,76776,2313,1
"1107","電気通信工学",2005,135472,8584,1
"1108","土木建築工学",2005,60818,11027,1
"1109","応用化学",2005,34853,8078,1
"1110","応用理学",2005,4289,277,1
"1111","原子力工学",2005,247,5,1
"1112","鉱山学",2005,79,15,1
"1113","金属工学",2005,670,42,1
"1114","繊維工学",2005,1241,305,1
"1115","船舶工学",2005,959,64,1
"1116","航空工学",2005,2564,169,1
"1117","経営工学",2005,10165,1216,1
"1118","工芸学",2005,869,335,1
"1119","その他",2005,58672,13273,1
"1120","農学",2005,6414,4115,1
"1121","農芸化学",2005,3834,3509,1
"1122","農業工学",2005,2373,968,1
"1123","農業経済学",2005,2619,883,1
"1124","林学",2005,1223,654,1
"1125","林産学",2005,0,0,1
"1126","獣医学畜産学",2005,5519,5188,1
"1127","水産学",2005,4602,1974,1
"1128","その他",2005,15294,11159,1
"1129","医学",2005,31439,15432,1
"1130","歯学",2005,10579,6103,1
"1131","薬学",2005,19959,26253,1
"1132","看護学",2005,2274,28077,1
"1133","その他",2005,16823,29915,1
"1134","商船学",2005,403,36,1
"1135","家政学",2005,2351,20832,1
"1136","食物学",2005,1728,22519,1
"1137","被服学",2005,213,6189,1
"1138","住居学",2005,158,1732,1
"1139","児童学",2005,471,3977,1
"1140","教育学",2005,7409,15894,1
"1141","小学校課程",2005,3932,5185,1
"1142","中学校課程",2005,745,582,1
"1143","高等学校課程",2005,0,0,1
"1144","特別教科課程",2005,10,50,1
"1145","盲学校課程",2005,0,0,1
"1146","聾学校課程",2005,0,0,1
"1147","中等教育学校課程",2005,987,834,1
"1148","養護学校課程",2005,85,316,1
"1149","幼稚園課程",2005,25,135,1
"1150","体育学",2005,15021,9398,1
"1151","障害児教育課程",2005,222,840,1
"1152","その他",2005,27075,53146,1
"1153","美術",2005,3688,8479,1
"1154","デザイン",2005,6069,10853,1
"1155","音楽",2005,3788,16721,1
"1156","その他",2005,8748,14276,1
"1157","教養学",2005,1295,2162,1
"1158","総合科学",2005,273,337,1
"1159","教養課程（文科）",2005,1946,1481,1
"1160","教養課程（理科）",2005,4456,686,1
"1161","教養課程（その他）",2005,0,0,1
"1162","人文・社会科学",2005,7959,9124,1
"1163","国際関係学（国際関係学部）",2005,5647,6592,1
"1164","人間関係科学",2005,4518,4160,1
"1165","その他",2005,29686,24072,1
"1166","平成15年度",2004,1514868,994506,1
"1167","平成16年度",2004,1501827,1004096,1
"1168","文学",2004,45562,125522,1
"1169","史学",2004,17138,14483,1
"1170","哲学",2004,16895,22118,1
"1171","その他",2004,53263,113205,1
"1172","法学・政治学",2004,129898,57661,1
"1173","商学・経済学",2004,414046,126391,1
"1174","社会学",2004,76241,90203,1
"1175","その他",2004,42801,24521,1
"1176","数学",2004,17496,4272,1
"1177","物理学",2004,12647,1792,1
"1178","化学",2004,9450,4374,1
"1179","生物学",2004,3852,3020,1
"1180","地学",2004,3206,896,1
"1181","その他",2004,18193,8200,1
"1182","機械工学",2004,78827,2429,1
"1183","電気通信工学",2004,136865,8892,1
"1184","土木建築工学",2004,63017,11400,1
"1185","応用化学",2004,35824,8587,1
"1186","応用理学",2004,4228,274,1
